Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr19,10582113,10587826,5714,36,-0.06,0.599,0.451,0.472,hypo,Block:14165
chr19,10634456,10650129,15674,91,-0.119,0.594,0.537,0.56,hypo,Block:14166
chr19,10657319,10669407,12089,200,0.072,0.608,0.533,0.529,hyper,Block:14167
chr19,10693912,10709652,15741,132,-0.085,0.594,0.505,0.483,hypo,Block:14168
chr19,10721612,10734252,12641,118,-0.074,0.676,0.577,0.554,hypo,Block:14169
chr19,10816821,10825453,8633,125,-0.054,0.388,0.486,0.447,hypo,Block:14170
chr19,10834362,10844752,10391,127,0.074,0.605,0.607,0.598,hyper,Block:14171
chr19,10950193,10976492,26300,172,-0.131,0.638,0.502,0.501,hypo,Block:14172
chr19,11053977,11065555,11579,64,-0.051,0.636,0.522,0.527,hypo,Block:14173
chr19,11201803,11213678,11876,115,-0.057,0.466,0.521,0.554,hypo,Block:14174
chr19,11266748,11274196,7449,63,0.049,0.603,0.501,0.505,hyper,Block:14175
chr19,11288317,11306476,18160,265,0.054,0.694,0.451,0.502,hyper,Block:14176
chr19,11334261,11346423,12163,135,0.051,0.875,0.46,0.473,hyper,Block:14177
chr19,11357186,11365580,8395,129,0.052,0.766,0.519,0.478,hyper,Block:14178
chr19,11374067,11404484,30418,225,-0.079,0.604,0.524,0.522,hypo,Block:14179
chr19,11404823,11432012,27190,181,-0.11,0.689,0.476,0.487,hypo,Block:14180
chr19,11459244,11465955,6712,68,-0.083,0.518,0.543,0.501,hypo,Block:14181
chr19,11466349,11478637,12289,210,-0.086,0.655,0.482,0.503,hypo,Block:14182
chr19,11508131,11517283,9153,128,-0.056,0.796,0.516,0.487,hypo,Block:14183
chr19,11563432,11587897,24466,304,-0.137,0.637,0.467,0.473,hypo,Block:14184
chr19,11593661,11600872,7212,161,0.086,0.57,0.445,0.502,hyper,Block:14185
chr19,11632054,11639574,7521,58,-0.057,0.56,0.406,0.396,hypo,Block:14186
chr19,11644957,11660203,15247,220,-0.076,0.54,0.538,0.541,hypo,Block:14187
chr19,11691153,11708256,17104,131,-0.097,0.519,0.505,0.524,hypo,Block:14188
chr19,11780049,11792990,12942,105,0.079,0.642,0.572,0.509,hyper,Block:14189
chr19,11850238,11877347,27110,106,-0.091,0.518,0.46,0.449,hypo,Block:14190
chr19,11902669,11909365,6697,48,-0.11,0.493,0.642,0.652,hypo,Block:14191
chr19,11909859,11925015,15157,100,-0.115,0.415,0.507,0.494,hypo,Block:14192
chr19,11964090,11989766,25677,153,-0.077,0.826,0.531,0.527,hypo,Block:14193
chr19,12083548,12088671,5124,23,-0.058,0.595,0.529,0.47,hypo,Block:14194
chr19,12179881,12194890,15010,61,-0.085,0.855,0.566,0.552,hypo,Block:14195
chr19,12212794,12243520,30727,197,-0.114,0.861,0.552,0.563,hypo,Block:14196
chr19,12267719,12273770,6052,67,0.103,0.341,0.566,0.579,hyper,Block:14197
chr19,12300194,12305446,5253,35,0.173,0.587,0.548,0.511,hyper,Block:14198
chr19,12306467,12314477,8011,42,0.193,0.516,0.725,0.661,hyper,Block:14199
chr19,12524820,12530180,5361,32,0.052,0.673,0.443,0.447,hyper,Block:14200
chr19,12613932,12627338,13407,110,0.06,0.769,0.446,0.473,hyper,Block:14201
chr19,12667014,12686580,19567,122,-0.095,0.709,0.548,0.556,hypo,Block:14202
chr19,12741838,12750847,9010,81,-0.095,0.716,0.474,0.483,hypo,Block:14203
chr19,12857264,12868372,11109,228,-0.091,0.547,0.514,0.516,hypo,Block:14204
chr19,12928255,12936491,8237,54,-0.063,0.555,0.553,0.53,hypo,Block:14205
chr19,12958913,12978320,19408,194,-0.135,0.695,0.491,0.506,hypo,Block:14206
chr19,13078728,13091134,12407,130,-0.075,0.563,0.523,0.538,hypo,Block:14207
chr19,13114840,13124277,9438,316,0.057,0.59,0.496,0.497,hyper,Block:14208
chr19,13154640,13208317,53678,892,0.084,0.554,0.5,0.51,hyper,Block:14209
chr19,13318649,13613845,295197,2663,-0.186,0.687,0.49,0.489,hypo,Block:14210
chr19,13619595,13839323,219729,1401,-0.176,0.683,0.499,0.501,hypo,Block:14211
chr19,13892617,13898998,6382,73,-0.053,0.366,0.466,0.457,hypo,Block:14212
chr19,13956731,13969527,12797,221,-0.064,0.284,0.465,0.472,hypo,Block:14213
chr19,13999105,14008139,9035,112,-0.054,0.714,0.484,0.464,hypo,Block:14214
chr19,14053518,14062738,9221,55,-0.067,0.496,0.529,0.428,hypo,Block:14215
chr19,14082680,14089552,6873,134,0.099,0.728,0.544,0.51,hyper,Block:14216
chr19,14089802,14100452,10651,232,0.119,0.713,0.507,0.503,hyper,Block:14217
chr19,14135887,14142322,6436,75,-0.066,0.63,0.488,0.486,hypo,Block:14218
chr19,14143042,14168098,25057,238,-0.077,0.612,0.479,0.466,hypo,Block:14219
chr19,14218148,14228455,10308,174,0.059,0.61,0.464,0.428,hyper,Block:14220
chr19,14273306,14282116,8811,230,0.06,0.827,0.591,0.578,hyper,Block:14221
chr19,14329519,14359451,29933,95,-0.116,0.598,0.537,0.553,hypo,Block:14222
chr19,14360473,14444285,83813,514,-0.145,0.693,0.503,0.507,hypo,Block:14223
chr19,14444633,14454655,10023,80,-0.074,0.585,0.49,0.464,hypo,Block:14224
chr19,14607473,14620486,13014,115,-0.058,0.417,0.54,0.49,hypo,Block:14225
chr19,14685216,14798072,112857,608,-0.201,0.714,0.537,0.53,hypo,Block:14226
chr19,14832153,14891738,59586,406,-0.114,0.733,0.541,0.537,hypo,Block:14227
chr19,14898922,15083616,184695,1058,-0.185,0.72,0.504,0.504,hypo,Block:14228
chr19,15098008,15114565,16558,89,-0.096,0.611,0.534,0.529,hypo,Block:14229
chr19,15131288,15217066,85779,667,-0.178,0.682,0.5,0.497,hypo,Block:14230
chr19,15240814,15288310,47497,401,-0.108,0.73,0.498,0.473,hypo,Block:14231
chr19,15289137,15306199,17063,355,-0.113,0.669,0.483,0.498,hypo,Block:14232
chr19,15312063,15330040,17978,135,-0.082,0.468,0.52,0.514,hypo,Block:14233
chr19,15334837,15342603,7767,72,0.14,0.471,0.441,0.5,hyper,Block:14234
chr19,15343199,15355563,12365,284,0.117,0.708,0.467,0.494,hyper,Block:14235
chr19,15543935,15562244,18310,375,-0.135,0.58,0.495,0.459,hypo,Block:14236
chr19,15566418,15580348,13931,275,0.107,0.408,0.517,0.54,hyper,Block:14237
chr19,15584008,15619188,35181,184,-0.13,0.638,0.514,0.501,hypo,Block:14238
chr19,15619659,15661864,42206,316,-0.152,0.639,0.511,0.517,hypo,Block:14239
chr19,15664494,15695270,30777,277,-0.14,0.536,0.573,0.606,hypo,Block:14240
chr19,15695576,15742899,47324,299,-0.129,0.559,0.568,0.55,hypo,Block:14241
chr19,15820082,15928160,108079,588,-0.161,0.64,0.54,0.537,hypo,Block:14242
chr19,15951372,16012049,60678,398,-0.111,0.709,0.509,0.497,hypo,Block:14243
chr19,16045001,16184604,139604,1284,-0.149,0.707,0.509,0.52,hypo,Block:14244
chr19,16270555,16296235,25681,184,-0.096,0.655,0.489,0.509,hypo,Block:14245
chr19,16346975,16392261,45287,430,-0.115,0.675,0.497,0.502,hypo,Block:14246
chr19,16401674,16430448,28775,275,-0.133,0.679,0.488,0.489,hypo,Block:14247
chr19,16438117,16444375,6259,79,0.095,0.335,0.49,0.444,hyper,Block:14248
chr19,16448801,16462316,13516,135,-0.069,0.724,0.471,0.488,hypo,Block:14249
chr19,16558705,16571508,12804,123,0.053,0.773,0.448,0.432,hyper,Block:14250
chr19,16585783,16604089,18307,106,-0.097,0.559,0.49,0.477,hypo,Block:14251
chr19,16743228,16749082,5855,43,0.066,0.617,0.477,0.55,hyper,Block:14252
chr19,16762988,16769853,6866,67,0.064,0.541,0.419,0.396,hyper,Block:14253
chr19,16796500,16826083,29584,173,-0.082,0.724,0.535,0.534,hypo,Block:14254
chr19,16847965,16937647,89683,601,-0.108,0.759,0.485,0.499,hypo,Block:14255
chr19,16943962,16949476,5515,84,0.053,0.746,0.507,0.543,hyper,Block:14256
chr19,17008902,17129055,120154,958,-0.209,0.769,0.501,0.502,hypo,Block:14257
chr19,17139203,17154248,15046,149,-0.111,0.672,0.534,0.511,hypo,Block:14258
chr19,17187262,17197375,10114,180,0.064,0.499,0.525,0.532,hyper,Block:14259
chr19,17218849,17244063,25215,352,0.057,0.792,0.502,0.514,hyper,Block:14260
chr19,17288475,17297405,8931,146,0.056,0.838,0.434,0.471,hyper,Block:14261
chr19,17341050,17346106,5057,73,0.093,0.387,0.504,0.539,hyper,Block:14262
chr19,17346982,17353366,6385,70,0.094,0.363,0.524,0.549,hyper,Block:14263
chr19,17358176,17378581,20406,263,-0.082,0.554,0.506,0.48,hypo,Block:14264
chr19,17403607,17413673,10067,164,-0.059,0.558,0.543,0.525,hypo,Block:14265
chr19,17426269,17438021,11753,252,0.093,0.657,0.514,0.519,hyper,Block:14266
chr19,17451176,17499928,48753,512,-0.119,0.63,0.499,0.484,hypo,Block:14267
chr19,17533840,17558719,24880,232,-0.14,0.673,0.551,0.488,hypo,Block:14268
chr19,17585151,17600122,14972,181,-0.086,0.751,0.494,0.487,hypo,Block:14269
chr19,17637837,17662774,24938,344,-0.094,0.612,0.501,0.5,hypo,Block:14270
chr19,17693989,17716611,22623,156,-0.103,0.56,0.472,0.476,hypo,Block:14271
chr19,17717589,17791042,73454,830,-0.155,0.686,0.497,0.493,hypo,Block:14272
chr19,17801212,17827284,26073,189,-0.145,0.545,0.472,0.482,hypo,Block:14273
chr19,17851119,17857229,6111,34,-0.053,0.582,0.401,0.472,hypo,Block:14274
chr19,17928866,17958444,29579,464,-0.098,0.62,0.48,0.495,hypo,Block:14275
chr19,17958825,17970439,11615,114,-0.058,0.371,0.489,0.432,hypo,Block:14276
chr19,17990097,18042577,52481,321,-0.166,0.671,0.507,0.538,hypo,Block:14277
chr19,18048089,18058540,10452,196,0.068,0.574,0.55,0.505,hyper,Block:14278
chr19,18068415,18077630,9216,91,-0.082,0.395,0.485,0.517,hypo,Block:14279
chr19,18078311,18108149,29839,454,-0.149,0.711,0.499,0.495,hypo,Block:14280
chr19,18112517,18117848,5332,61,0.087,0.284,0.49,0.501,hyper,Block:14281
chr19,18118337,18125635,7299,222,0.12,0.496,0.517,0.557,hyper,Block:14282
chr19,18133489,18209821,76333,743,-0.091,0.649,0.491,0.489,hypo,Block:14283
chr19,18264662,18271707,7046,146,0.069,0.483,0.458,0.545,hyper,Block:14284
chr19,18272256,18280669,8414,217,0.064,0.539,0.474,0.46,hyper,Block:14285
chr19,18348774,18368724,19951,188,-0.064,0.649,0.457,0.5,hypo,Block:14286
chr19,18436064,18448309,12246,114,-0.074,0.53,0.525,0.496,hypo,Block:14287
chr19,18455447,18465766,10320,102,0.062,0.633,0.481,0.532,hyper,Block:14288
chr19,18534423,18539756,5334,119,0.077,0.362,0.483,0.506,hyper,Block:14289
chr19,18540362,18551861,11500,428,0.093,0.543,0.495,0.524,hyper,Block:14290
chr19,18601464,18608168,6705,91,0.05,0.734,0.481,0.497,hyper,Block:14291
chr19,18654548,18667937,13390,79,-0.071,0.373,0.498,0.473,hypo,Block:14292
chr19,18725380,18746832,21453,190,-0.193,0.664,0.499,0.493,hypo,Block:14293
chr19,18783257,18794160,10904,108,-0.065,0.553,0.516,0.482,hypo,Block:14294
chr19,18813716,18820765,7050,83,0.051,0.724,0.582,0.613,hyper,Block:14295
chr19,18843478,18855215,11738,250,-0.054,0.783,0.497,0.505,hypo,Block:14296
chr19,18869060,18877576,8517,203,-0.05,0.807,0.517,0.504,hypo,Block:14297
chr19,18879265,18891041,11777,379,-0.056,0.767,0.514,0.525,hypo,Block:14298
chr19,18909545,18933948,24404,228,-0.169,0.644,0.482,0.501,hypo,Block:14299
chr19,18969744,18983109,13366,482,0.114,0.726,0.494,0.522,hyper,Block:14300
chr19,18985872,19002327,16456,227,-0.207,0.701,0.458,0.482,hypo,Block:14301
chr19,19051943,19100983,49041,469,-0.131,0.599,0.491,0.514,hypo,Block:14302
chr19,19184261,19221178,36918,442,-0.082,0.762,0.493,0.507,hypo,Block:14303
chr19,19330524,19335701,5178,45,-0.093,0.446,0.474,0.455,hypo,Block:14304
chr19,19336181,19383613,47433,615,-0.097,0.617,0.5,0.519,hypo,Block:14305
chr19,19479520,19491553,12034,68,-0.07,0.544,0.427,0.451,hypo,Block:14306
chr19,19519568,19528701,9134,85,-0.053,0.689,0.564,0.583,hypo,Block:14307
chr19,19656940,19671342,14403,270,-0.084,0.705,0.497,0.532,hypo,Block:14308
chr19,19709694,19729097,19404,131,-0.083,0.716,0.422,0.386,hypo,Block:14309
chr19,19795895,19830228,34334,193,-0.092,0.943,0.499,0.485,hypo,Block:14310
chr19,19848936,19884382,35447,423,-0.169,0.819,0.461,0.483,hypo,Block:14311
chr19,19931955,19971272,39318,201,-0.132,0.762,0.487,0.47,hypo,Block:14312
chr19,20025026,20142473,117448,479,-0.189,0.829,0.427,0.436,hypo,Block:14313
chr19,20186426,20339240,152815,577,-0.094,0.813,0.507,0.511,hypo,Block:14314
chr19,20366289,20504233,137945,509,-0.182,0.816,0.49,0.499,hypo,Block:14315
chr19,20596542,20961962,365421,1306,-0.155,0.775,0.523,0.511,hypo,Block:14316
chr19,20982296,21171292,188997,730,-0.157,0.8,0.406,0.415,hypo,Block:14317
chr19,21301036,21326765,25730,104,-0.07,0.805,0.505,0.473,hypo,Block:14318
chr19,21377499,21475746,98248,359,-0.163,0.794,0.513,0.502,hypo,Block:14319
chr19,21505400,21578389,72990,241,-0.093,0.702,0.581,0.592,hypo,Block:14320
chr19,21581504,21640883,59380,244,-0.14,0.813,0.534,0.54,hypo,Block:14321
chr19,21646553,21657531,10979,71,0.078,0.543,0.531,0.511,hyper,Block:14322
chr19,21666098,21688519,22422,158,-0.103,0.758,0.511,0.537,hypo,Block:14323
chr19,21704824,21754601,49778,172,-0.083,0.824,0.507,0.492,hypo,Block:14324
chr19,21778857,21903062,124206,457,-0.171,0.745,0.493,0.52,hypo,Block:14325
chr19,21955387,22017015,61629,191,-0.173,0.798,0.498,0.506,hypo,Block:14326
chr19,22050183,22602254,552072,1758,-0.21,0.759,0.513,0.505,hypo,Block:14327
chr19,22620096,22708431,88336,499,-0.203,0.767,0.522,0.519,hypo,Block:14328
chr19,22715596,22799577,83982,483,-0.192,0.721,0.518,0.507,hypo,Block:14329
chr19,22817696,23244936,427241,1654,-0.178,0.767,0.508,0.511,hypo,Block:14330
chr19,23266212,23299667,33456,156,-0.203,0.818,0.553,0.584,hypo,Block:14331
chr19,23300238,23381531,81294,283,-0.18,0.762,0.502,0.473,hypo,Block:14332
chr19,23460247,23503095,42849,180,-0.128,0.778,0.433,0.48,hypo,Block:14333
chr19,23595307,23835819,240513,904,-0.111,0.759,0.467,0.473,hypo,Block:14334
chr19,23864044,23941212,77169,263,-0.098,0.68,0.519,0.494,hypo,Block:14335
chr19,23946164,24145887,199724,791,-0.09,0.758,0.529,0.539,hypo,Block:14336
chr19,24158567,24212149,53583,341,-0.124,0.826,0.485,0.498,hypo,Block:14337
chr19,24298596,24630163,331568,1175,-0.176,0.726,0.556,0.551,hypo,Block:14338
chr19,27733229,28272101,538873,2779,-0.152,0.701,0.547,0.543,hypo,Block:14339
chr19,28308875,28878281,569407,3116,-0.222,0.748,0.506,0.501,hypo,Block:14340
chr19,28984277,29217982,233706,1446,-0.213,0.756,0.46,0.454,hypo,Block:14341
chr19,29218774,29280710,61937,225,-0.189,0.633,0.466,0.474,hypo,Block:14342
chr19,29294158,29703529,409372,3423,-0.204,0.703,0.498,0.5,hypo,Block:14343
chr19,29704382,30011516,307135,2926,-0.213,0.68,0.49,0.485,hypo,Block:14344
chr19,30028364,30090673,62310,547,-0.195,0.63,0.513,0.501,hypo,Block:14345
chr19,30102846,30155145,52300,568,-0.159,0.721,0.49,0.502,hypo,Block:14346
chr19,30169830,30189791,19962,226,-0.11,0.798,0.528,0.507,hypo,Block:14347
chr19,30215736,30298144,82409,907,-0.178,0.709,0.488,0.493,hypo,Block:14348
chr19,30317537,30333317,15781,185,-0.079,0.659,0.469,0.472,hypo,Block:14349
chr19,30341970,30363175,21206,179,-0.123,0.557,0.519,0.507,hypo,Block:14350
chr19,30364817,30432506,67690,476,-0.157,0.622,0.513,0.507,hypo,Block:14351
chr19,30532045,30708373,176329,2036,-0.228,0.754,0.511,0.509,hypo,Block:14352
chr19,30723697,30865661,141965,1661,-0.195,0.708,0.54,0.537,hypo,Block:14353
chr19,30866535,31210456,343922,3867,-0.205,0.693,0.529,0.526,hypo,Block:14354
chr19,31210906,31832057,621152,5324,-0.234,0.745,0.503,0.502,hypo,Block:14355
chr19,31849277,32715363,866087,6791,-0.229,0.723,0.482,0.486,hypo,Block:14356
chr19,32715820,32831640,115821,1035,-0.177,0.694,0.48,0.477,hypo,Block:14357
chr19,32866099,32893497,27399,191,-0.079,0.733,0.492,0.506,hypo,Block:14358
chr19,32975200,33070084,94885,608,-0.167,0.747,0.495,0.496,hypo,Block:14359
chr19,33077413,33084992,7580,21,0.053,0.607,0.626,0.573,hyper,Block:14360
chr19,33209284,33371769,162486,1512,-0.172,0.798,0.534,0.537,hypo,Block:14361
chr19,33533257,33551772,18516,159,-0.079,0.597,0.474,0.493,hypo,Block:14362
chr19,33578417,33588303,9887,79,-0.058,0.827,0.552,0.551,hypo,Block:14363
chr19,33629249,33655385,26137,225,-0.11,0.75,0.492,0.528,hypo,Block:14364
chr19,33676621,33685136,8516,97,-0.073,0.386,0.477,0.484,hypo,Block:14365
chr19,33686109,33716258,30150,672,-0.124,0.735,0.514,0.508,hypo,Block:14366
chr19,33717939,33759824,41886,682,-0.096,0.677,0.465,0.461,hypo,Block:14367
chr19,33779533,33792040,12508,197,-0.075,0.369,0.485,0.492,hypo,Block:14368
chr19,33800472,33809645,9174,85,-0.056,0.45,0.493,0.459,hypo,Block:14369
chr19,33828031,33833649,5619,30,-0.05,0.788,0.442,0.497,hypo,Block:14370
chr19,33870079,33887466,17388,382,-0.058,0.734,0.5,0.51,hypo,Block:14371
chr19,33910628,33956409,45782,727,-0.079,0.823,0.499,0.501,hypo,Block:14372
chr19,34012957,34108993,96037,830,-0.202,0.651,0.505,0.506,hypo,Block:14373
chr19,34114451,34119530,5080,67,0.073,0.387,0.57,0.546,hyper,Block:14374
chr19,34125021,34175308,50288,528,-0.171,0.689,0.521,0.523,hypo,Block:14375
chr19,34175833,34269052,93220,1336,-0.207,0.665,0.516,0.513,hypo,Block:14376
chr19,34269332,34286140,16809,221,-0.177,0.533,0.5,0.49,hypo,Block:14377
chr19,34315093,34396440,81348,587,-0.174,0.627,0.474,0.489,hypo,Block:14378
chr19,34398104,34622592,224489,1392,-0.218,0.688,0.465,0.469,hypo,Block:14379
chr19,34625786,34660561,34776,224,-0.16,0.656,0.488,0.501,hypo,Block:14380
chr19,34730907,34740882,9976,62,-0.058,0.569,0.524,0.502,hypo,Block:14381
chr19,34786452,34797864,11413,85,-0.066,0.711,0.565,0.548,hypo,Block:14382
chr19,34964176,34972007,7832,82,0.147,0.472,0.522,0.521,hyper,Block:14383
chr19,34980139,34989533,9395,167,-0.084,0.754,0.5,0.484,hypo,Block:14384
chr19,34999579,35065712,66134,274,-0.182,0.683,0.535,0.544,hypo,Block:14385
chr19,35071354,35161801,90448,496,-0.157,0.772,0.517,0.518,hypo,Block:14386
chr19,35175793,35220376,44584,197,-0.138,0.606,0.456,0.449,hypo,Block:14387
chr19,35232280,35252496,20217,94,-0.1,0.81,0.416,0.448,hypo,Block:14388
chr19,35272430,35392628,120199,718,-0.141,0.739,0.486,0.479,hypo,Block:14389
chr19,35418242,35436152,17911,118,-0.062,0.841,0.525,0.539,hypo,Block:14390
chr19,35455281,35482220,26940,202,-0.085,0.58,0.493,0.504,hypo,Block:14391
chr19,35522912,35531753,8842,196,-0.085,0.55,0.543,0.526,hypo,Block:14392
chr19,35532020,35601698,69679,950,-0.145,0.709,0.498,0.5,hypo,Block:14393
chr19,35651654,35730078,78425,556,-0.122,0.723,0.513,0.516,hypo,Block:14394
chr19,35771111,36027867,256757,3017,-0.157,0.699,0.502,0.506,hypo,Block:14395
chr19,36050823,36095407,44585,327,-0.118,0.683,0.516,0.481,hypo,Block:14396
chr19,36155727,36163982,8256,104,-0.08,0.742,0.485,0.475,hypo,Block:14397
chr19,36164390,36193060,28671,226,-0.143,0.589,0.488,0.493,hypo,Block:14398
chr19,36285955,36334925,48971,429,-0.158,0.623,0.496,0.491,hypo,Block:14399
chr19,36353487,36359211,5725,50,-0.066,0.334,0.486,0.522,hypo,Block:14400
chr19,36360972,36372949,11978,200,-0.099,0.482,0.486,0.492,hypo,Block:14401
chr19,36397505,36420908,23404,156,-0.185,0.572,0.489,0.521,hypo,Block:14402
chr19,36432402,36443220,10819,138,-0.059,0.82,0.491,0.519,hypo,Block:14403
chr19,36458645,36478040,19396,164,-0.159,0.55,0.481,0.484,hypo,Block:14404
chr19,36621987,36629340,7354,51,-0.052,0.244,0.513,0.47,hypo,Block:14405
chr19,36635577,36650135,14559,164,0.081,0.75,0.506,0.547,hyper,Block:14406
chr19,36711974,36717212,5239,31,0.056,0.678,0.662,0.64,hyper,Block:14407
chr19,36728901,36743476,14576,164,0.141,0.66,0.495,0.552,hyper,Block:14408
chr19,36750341,36755881,5541,19,-0.049,0.864,0.536,0.648,hypo,Block:14409
chr19,36798496,36813966,15471,31,-0.097,0.82,0.505,0.449,hypo,Block:14410
chr19,36871415,36900944,29530,117,-0.251,0.82,0.444,0.453,hypo,Block:14411
chr19,36909903,36915995,6093,107,0.145,0.423,0.562,0.493,hyper,Block:14412
chr19,36920377,36940321,19945,90,-0.116,0.873,0.41,0.398,hypo,Block:14413
chr19,36986109,37011359,25251,154,-0.125,0.808,0.484,0.518,hypo,Block:14414
chr19,37029164,37036463,7300,30,-0.067,0.786,0.42,0.351,hypo,Block:14415
chr19,37105342,37144649,39308,182,-0.169,0.899,0.497,0.462,hypo,Block:14416
chr19,37151915,37157527,5613,38,-0.067,0.677,0.53,0.489,hypo,Block:14417
chr19,37158166,37171713,13548,97,-0.078,0.581,0.547,0.576,hypo,Block:14418
chr19,37211294,37246628,35335,152,-0.06,0.961,0.485,0.499,hypo,Block:14419
chr19,37257516,37263361,5846,32,0.099,0.412,0.425,0.412,hyper,Block:14420
chr19,37267683,37282435,14753,75,-0.136,0.838,0.591,0.554,hypo,Block:14421
chr19,37296511,37315494,18984,67,-0.108,0.909,0.487,0.473,hypo,Block:14422
chr19,37322228,37328876,6649,39,0.098,0.454,0.388,0.376,hyper,Block:14423
chr19,37329615,37340879,11265,60,0.112,0.243,0.448,0.434,hyper,Block:14424
chr19,37346840,37395592,48753,180,-0.198,0.863,0.535,0.55,hypo,Block:14425
chr19,37416750,37454592,37843,134,-0.253,0.842,0.599,0.63,hypo,Block:14426
chr19,37468561,37564763,96203,810,-0.167,0.835,0.508,0.501,hypo,Block:14427
chr19,37598440,37697762,99323,454,-0.097,0.824,0.473,0.484,hypo,Block:14428
chr19,37753533,37764403,10871,13,-0.09,0.871,0.511,0.266,hypo,Block:14429
chr19,37794779,37803626,8848,175,-0.068,0.799,0.475,0.485,hypo,Block:14430
chr19,37815115,37828679,13565,121,0.082,0.637,0.509,0.49,hyper,Block:14431
chr19,37877853,37953241,75389,373,-0.21,0.863,0.54,0.516,hypo,Block:14432
chr19,37960645,37967371,6727,33,0.15,0.311,0.569,0.578,hyper,Block:14433
chr19,37970185,37990375,20191,76,-0.208,0.836,0.507,0.514,hypo,Block:14434
chr19,38004589,38036072,31484,158,-0.219,0.867,0.53,0.539,hypo,Block:14435
chr19,38051248,38077451,26204,135,-0.116,0.883,0.421,0.432,hypo,Block:14436
chr19,38093220,38135835,42616,195,-0.182,0.827,0.494,0.495,hypo,Block:14437
chr19,38153229,38175544,22316,77,-0.155,0.643,0.427,0.473,hypo,Block:14438
chr19,38183360,38196474,13115,91,0.089,0.698,0.486,0.465,hyper,Block:14439
chr19,38276359,38307847,31489,226,-0.11,0.738,0.516,0.507,hypo,Block:14440
chr19,38308649,38340411,31763,162,-0.128,0.766,0.478,0.482,hypo,Block:14441
chr19,38345169,38393440,48272,380,-0.107,0.739,0.504,0.498,hypo,Block:14442
chr19,38401890,38413993,12104,90,0.069,0.687,0.564,0.58,hyper,Block:14443
chr19,38420986,38437551,16566,154,-0.137,0.625,0.531,0.538,hypo,Block:14444
chr19,38708798,38714489,5692,113,-0.06,0.334,0.438,0.386,hypo,Block:14445
chr19,38720689,38739375,18687,156,-0.128,0.528,0.512,0.478,hypo,Block:14446
chr19,38755723,38768414,12692,120,-0.081,0.414,0.612,0.59,hypo,Block:14447
chr19,38788472,38802269,13798,217,-0.072,0.528,0.518,0.497,hypo,Block:14448
chr19,38834122,38852242,18121,187,-0.099,0.459,0.508,0.5,hypo,Block:14449
chr19,38853582,38865226,11645,131,-0.094,0.396,0.497,0.5,hypo,Block:14450
chr19,38874060,38879224,5165,225,0.053,0.502,0.532,0.496,hyper,Block:14451
